Total details with discrepancy/damage for session d1d3b0cd-08e4-4bae-af6d-6afa729b78cd: 288
108: I100111 | Hẹ lá                          | HT: -9.6     | TT: 0        | Huy: 0        | Lệch: -9.6     | Ghi chú: "Tự động reset kho âm (không có trong Excel)"
109: I100017 | Bí nụ                          | HT: -6       | TT: 3.5      | Huy: 0        | Lệch: -9.5     | Ghi chú: "Điều chỉnh tăng từ Excel"
110: I100009 | Bắp non tươi                   | HT: -9.5     | TT: 0        | Huy: 0        | Lệch: -9.5     | Ghi chú: "Tự động reset kho âm (không có trong Excel)"
111: I100002 | Bắp cải tím                    | HT: -9.48    | TT: 0        | Huy: 0        | Lệch: -9.48    | Ghi chú: "Tự động reset kho âm (không có trong Excel)"
112: I100213 | Su hào                         | HT: -2.4     | TT: 7        | Huy: 0        | Lệch: -9.4     | Ghi chú: "Điều chỉnh tăng từ Excel"
113: I100011 | Bí đao                         | HT: 6.2      | TT: 15.5     | Huy: 0        | Lệch: -9.3     | Ghi chú: "Điều chỉnh tăng từ Excel"
114: I100126 | Khoai môn sọ                   | HT: -6.3     | TT: 3        | Huy: 0        | Lệch: -9.3     | Ghi chú: "Điều chỉnh tăng từ Excel"
115: I100057 | Cần tây                        | HT: -6.6     | TT: 2.7      | Huy: 0        | Lệch: -9.3     | Ghi chú: "Điều chỉnh tăng từ Excel"
116: I100078 | Đậu cove trắng                 | HT: -0.75    | TT: 8.5      | Huy: 0        | Lệch: -9.25    | Ghi chú: "Điều chỉnh tăng từ Excel"
117: I100214 | Su Su                          | HT: -3       | TT: 5        | Huy: 1.2      | Lệch: -9.2     | Ghi chú: "Điều chỉnh tăng từ Excel"
118: I100681 | Xà lách Crispy                 | HT: -7.16    | TT: 2        | Huy: 0        | Lệch: -9.16    | Ghi chú: "Điều chỉnh tăng từ Excel"
119: I100085 | Đọt rau lang                   | HT: -9       | TT: 0        | Huy: 0        | Lệch: -9       | Ghi chú: "Tự động reset kho âm (không có trong Excel)"
120: I100251 | Bánh phở                       | HT: -9       | TT: 0        | Huy: 0        | Lệch: -9       | Ghi chú: "Tự động reset kho âm (không có trong Excel)"
121: I100199 | Sả xay                         | HT: -9       | TT: 0        | Huy: 0        | Lệch: -9       | Ghi chú: "Tự động reset kho âm (không có trong Excel)"
122: I100124 | Khoai mỡ                       | HT: -2.4     | TT: 6.5      | Huy: 0        | Lệch: -8.9     | Ghi chú: "Điều chỉnh tăng từ Excel"
123: I100021 | Bông bí                        | HT: -8.6     | TT: 0        | Huy: 0        | Lệch: -8.6     | Ghi chú: "Tự động reset kho âm (không có trong Excel)"
124: I100518 | Quế vị (xá xị)                 | HT: -7.5     | TT: 0        | Huy: 1        | Lệch: -8.5     | Ghi chú: "Điều chỉnh tăng từ Excel"
125: I100001 | Bạc hà                         | HT: -6.4     | TT: 2        | Huy: 0        | Lệch: -8.4     | Ghi chú: "Điều chỉnh tăng từ Excel"
126: I100132 | Lá cây nhíp (lá mè)            | HT: -5.76    | TT: 2.4      | Huy: 0        | Lệch: -8.16    | Ghi chú: "Điều chỉnh tăng từ Excel"
127: I100077 | Đậu cove Pháp (Nhật)           | HT: -4.1     | TT: 4        | Huy: 0        | Lệch: -8.1     | Ghi chú: "Điều chỉnh tăng từ Excel"
128: I101266 | Măng tây trung                 | HT: 11       | TT: 19       | Huy: 0        | Lệch: -8       | Ghi chú: "Điều chỉnh tăng từ Excel"
129: I100202 | Xà lách búp ĐL                 | HT: -7.6     | TT: 0.4      | Huy: 0        | Lệch: -8       | Ghi chú: "Điều chỉnh tăng từ Excel"
130: I100572 | Đậu hủ bi chiên                | HT: -8       | TT: 0        | Huy: 0        | Lệch: -8       | Ghi chú: "Tự động reset kho âm (không có trong Excel)"
131: I100360 | Dừa tươi nguyên trái           | HT: -5       | TT: 3        | Huy: 0        | Lệch: -8       | Ghi chú: "Điều chỉnh tăng từ Excel"
132: I100210 | Xà lách son nhỏ                | HT: -8       | TT: 0        | Huy: 0        | Lệch: -8       | Ghi chú: "Tự động reset kho âm (không có trong Excel)"
133: I100189 | Rau răm                        | HT: -7.85    | TT: 0        | Huy: 0        | Lệch: -7.85    | Ghi chú: "Tự động reset kho âm (không có trong Excel)"
134: I100530 | Ổi không hạt                   | HT: -7.7     | TT: 0        | Huy: 0        | Lệch: -7.7     | Ghi chú: "Tự động reset kho âm (không có trong Excel)"
135: I100101 | Hành tây                       | HT: 616.35   | TT: 615      | Huy: 9        | Lệch: -7.65    | Ghi chú: "Điều chỉnh giảm từ Excel"
136: I100055 | Cần nước                       | HT: -7.6     | TT: 0        | Huy: 0        | Lệch: -7.6     | Ghi chú: "Tự động reset kho âm (không có trong Excel)"
